UNIQUD,NAME,Fold change (Stage1 DAM to Stage2 DAM),Z-value (Mann Whitney), -log10(p-value) Mann Whitney
Dnahc5,Dnahc5,0,,
Dnahc6,Dnahc6,-0.0077,-1.431,0.8169
Dnahc7a,Dnahc7a,0,,
Dnahc7b,Dnahc7b,0,,
Dnahc7c,Dnahc7c,0,,
Dnahc8,Dnahc8,0,,
Dnahc9,Dnahc9,0,,
Dnaic1,Dnaic1,0,,
Dnaic2,Dnaic2,0,,
Dnaja1,Dnaja1,0.0055,-3.6909,3.6507
Dnaja1-ps,Dnaja1-ps,0.0067,0.6927,0.3111
Dnaja2,Dnaja2,0.022,-3.2826,2.9878
Dnaja3,Dnaja3,0.0287,-0.3346,0.132
Dnaja4,Dnaja4,-0.0382,-2.5317,1.9449
Dnajb1,Dnajb1,0.0088,-3.0202,2.5976
Dnajb11,Dnajb11,-0.0714,-5.2391,6.7923
Dnajb12,Dnajb12,0.0003,-3.8083,3.8541
Dnajb13,Dnajb13,0,,
Dnajb14,Dnajb14,-0.255,-7.4267,12.9535
Dnajb2,Dnajb2,-0.0137,-1.431,0.8169
Dnajb3,Dnajb3,-0.0247,-1.431,0.8169
Dnajb4,Dnajb4,-0.0341,-3.1296,2.7569
Dnajb5,Dnajb5,0.0129,1.3956,0.7883
Dnajb6,Dnajb6,-0.0649,-3.5256,3.3741
Dnajb7,Dnajb7,0,,
Dnajb8,Dnajb8,0,,
Dnajb9,Dnajb9,-0.0399,-1.9204,1.2612
Dnajc1,Dnajc1,0.0079,-3.263,2.9577
Dnajc10,Dnajc10,0.0031,-2.9094,2.4412
Dnajc11,Dnajc11,0.0193,-1.0115,0.5061
Dnajc12,Dnajc12,-0.0154,-2.4881,1.8914
Dnajc13,Dnajc13,0.0782,-1.4079,0.7982
Dnajc14,Dnajc14,0.0058,-3.4216,3.2058
Dnajc15,Dnajc15,0.0346,0.6227,0.2729
Dnajc16,Dnajc16,-0.0121,-1.7821,1.1265
Dnajc17,Dnajc17,-0.004,-2.1809,1.5348
Dnajc18,Dnajc18,0.0224,-1.5149,0.8867
Dnajc19,Dnajc19,0.0491,-1.1452,0.5984
Dnajc2,Dnajc2,0.0398,-2.3131,1.6837
Dnajc21,Dnajc21,0.0428,0.1062,0.0384
Dnajc22,Dnajc22,0,,
Dnajc24,Dnajc24,-0.004,0.4831,0.2013
Dnajc25,Dnajc25,-0.0279,-3.3422,3.0803
Dnajc27,Dnajc27,0.0008,-0.3426,0.1356
Dnajc28,Dnajc28,-0.0361,-2.8941,2.4199
Dnajc3,Dnajc3,-0.053,-4.022,4.2388
Dnajc30,Dnajc30,0.0069,-1.0557,0.5359
Dnajc4,Dnajc4,-0.0014,-1.4593,0.8402
Dnajc5,Dnajc5,-0.0386,-4.0075,4.2121
Dnajc5b,Dnajc5b,0,,
Dnajc5g,Dnajc5g,0,,
Dnajc6,Dnajc6,0,,
Dnajc7,Dnajc7,-0.045,-2.8354,2.3394
Dnajc8,Dnajc8,0.0743,-2.4484,1.8432
Dnajc9,Dnajc9,0.0107,-0.038,0.0134
Dnalc1,Dnalc1,0.001,-1.8012,1.1447
Dnalc4,Dnalc4,-0.0222,-2.4063,1.7928
Dnali1,Dnali1,0.0021,0.6927,0.3111
Dnase1,Dnase1,0,,
Dnase1l1,Dnase1l1,-0.0095,-1.6214,0.9791
Dnase1l2,Dnase1l2,0.0004,0.6927,0.3111
Dnase1l3,Dnase1l3,0,,
Dnase2a,Dnase2a,-0.1674,-7.7021,13.8735
Dnase2b,Dnase2b,0,,
Dnd1,Dnd1,0,,
Dner,Dner,0,,
Dnhd1,Dnhd1,0.0023,-2.7258,2.1929
Dnlz,Dnlz,0.0503,-1.0481,0.5308
Dnm1,Dnm1,0.0025,0.6927,0.3111
Dnm1l,Dnm1l,0.0165,-1.8197,1.1624
Dnm2,Dnm2,0.1487,-1.1099,0.5734
Dnm3,Dnm3,0,,
Dnm3os,Dnm3os,0,,
Dnmbp,Dnmbp,0.0149,0.9835,0.4876
Dnmt1,Dnmt1,-0.0078,-0.2313,0.0877
Dnmt3a,Dnmt3a,-0.026,-4.6964,5.5771
Dnmt3b,Dnmt3b,-0.0289,-2.4881,1.8914
Dnmt3l,Dnmt3l,0,,
Dnmt3l-ps1,Dnmt3l-ps1,0,,
Dnpep,Dnpep,-0.0423,-3.2327,2.9114
Dntt,Dntt,0,,
Dnttip1,Dnttip1,-0.0297,-1.6781,1.03
Dnttip2,Dnttip2,-0.004,-2.6244,2.0614
Doc2a,Doc2a,0,,
Doc2b,Doc2b,0,,
Doc2g,Doc2g,0,,
Dock1,Dock1,0.0729,-0.9995,0.4982
Dock10,Dock10,0.0404,-1.4372,0.822
Dock11,Dock11,0.1034,-1.0608,0.5395
Dock2,Dock2,0.1545,-1.6094,0.9685
Dock3,Dock3,0,,
Dock4,Dock4,-0.0236,-2.5351,1.9491
Dock5,Dock5,0,,
Dock6,Dock6,-0.0034,-0.3445,0.1364
Dock7,Dock7,-0.014,-3.7682,3.784
Dock8,Dock8,0.1254,-1.5618,0.9269
Dock9,Dock9,0.0074,-1.5394,0.9076
Dohh,Dohh,-0.0472,-3.3588,3.1063
Dok1,Dok1,-0.0008,-1.0507,0.5325
Dok2,Dok2,-0.0028,-0.0264,0.0092
Dok3,Dok3,0.0536,1.629,0.9858
Dok4,Dok4,-0.0406,-2.0286,1.3716
Dok5,Dok5,0,,
Dok6,Dok6,0,,
Dok7,Dok7,0,,
Dolk,Dolk,-0.0208,-2.8696,2.3861
Dolpp1,Dolpp1,-0.0021,-0.7483,0.3427
Dom3z,Dom3z,0.003,-0.889,0.4272
Donson,Donson,0.0136,0.3915,0.1577
Dopey1,Dopey1,-0.0147,-1.8057,1.149
Dopey2,Dopey2,0.042,-0.3177,0.1245
Dos,Dos,0.0137,0.9835,0.4876
Dot1l,Dot1l,-0.0203,-3.408,3.1842
Doxl2,Doxl2,0,,
Dpagt1,Dpagt1,-0.0042,-3.2914,3.0014
Dpcd,Dpcd,-0.0289,-3.3907,3.1567
Dpcr1,Dpcr1,0,,
Dpep1,Dpep1,0,,
Dpep2,Dpep2,-0.006,-2.0286,1.3716
Dpep3,Dpep3,0,,
Dpf1,Dpf1,0,,
Dpf2,Dpf2,0.0145,-2.1767,1.5301
Dpf3,Dpf3,0,,
Dph1,Dph1,-0.0225,-2.2196,1.5777
Dph2,Dph2,-0.0082,-1.8054,1.1486
Dph3,Dph3,0.0668,-2.5286,1.9412
Dph3b-ps,Dph3b-ps,0,,
Dph5,Dph5,-0.0029,-1.0365,0.5229
Dpm1,Dpm1,-0.0851,-5.6162,7.7095
Dpm2,Dpm2,-0.0299,-3.8193,3.8734
Dpm3,Dpm3,-0.0167,-2.8859,2.4086
Dpp10,Dpp10,-0.0034,-1.431,0.8169
Dpp3,Dpp3,-0.0167,-2.1439,1.4943
Dpp4,Dpp4,0,,
Dpp6,Dpp6,0.0021,0.6927,0.3111
Dpp7,Dpp7,-0.2571,-9.7744,21.8387
Dpp8,Dpp8,-0.0096,-0.2534,0.0969
Dpp9,Dpp9,-0.0013,-1.5438,0.9114
Dppa1,Dppa1,0,,
Dppa2,Dppa2,0,,
Dppa3,Dppa3,0,,
Dppa4,Dppa4,0,,
Dppa5a,Dppa5a,0,,
Dppa5b,Dppa5b,0,,
Dpt,Dpt,0,,
Dpy19l1,Dpy19l1,0.0198,-3.6776,3.6282
Dpy19l2,Dpy19l2,0,,
Dpy19l3,Dpy19l3,0.0052,-0.3445,0.1364
Dpy19l4,Dpy19l4,-0.1075,-5.1166,6.507
Dpy30,Dpy30,0.0206,-1.77,1.1151
Dpyd,Dpyd,0,,
Dpys,Dpys,-0.0128,-2.4881,1.8914
Dpysl2,Dpysl2,0.4248,2.0879,1.4341
Dpysl3,Dpysl3,0,,
Dpysl4,Dpysl4,0,,
Dpysl5,Dpysl5,0,,
Dqx1,Dqx1,0,,
Dr1,Dr1,-0.0338,-4.0234,4.2414
Dram1,Dram1,-0.0014,-1.8012,1.1447
Dram2,Dram2,0.0058,-3.5644,3.438
Drap1,Drap1,0.0265,-2.4347,1.8267
Drd1a,Drd1a,0,,
Drd2,Drd2,0,,
Drd3,Drd3,0,,
Drd4,Drd4,0,,
Drd5,Drd5,0,,
Drg1,Drg1,-0.0795,-2.8222,2.3215
Drg2,Drg2,-0.0204,-2.5459,1.9625
Drosha,Drosha,0.0206,0.292,0.1133
Drp2,Drp2,0,,
Drr1,Drr1,0,,
Dsc1,Dsc1,0,,
Dsc2,Dsc2,0,,
Dsc3,Dsc3,0,,
Dscam,Dscam,-0.0034,-1.431,0.8169
Dscaml1,Dscaml1,0,,
Dscc1,Dscc1,0,,
Dscr3,Dscr3,0.0151,-2.4749,1.8752
Dse,Dse,-0.0315,-3.1088,2.7261
Dsel,Dsel,-0.0196,-2.8765,2.3957
Dsg1a,Dsg1a,0.0013,0.6927,0.3111
Dsg1b,Dsg1b,0,,
Dsg1c,Dsg1c,0,,
Dsg2,Dsg2,0,,
Dsg3,Dsg3,0,,
Dsg4,Dsg4,0,,
Dsn1,Dsn1,-0.0051,-2.4881,1.8914
Dsp,Dsp,-0.0103,-1.431,0.8169
Dspp,Dspp,0,,
Dst,Dst,0.144,-1.3392,0.7435
Dstn,Dstn,-0.0052,-1.4729,0.8514
Dstyk,Dstyk,0.0187,-1.1528,0.6038
Dtd1,Dtd1,-0.029,-3.3177,3.042
Dtl,Dtl,0,,
Dtna,Dtna,0,,
Dtnb,Dtnb,-0.0047,-1.8054,1.1486
Dtnbp1,Dtnbp1,-0.0067,-4.8142,5.8304
Dtwd1,Dtwd1,0.0099,-0.5167,0.218
Dtwd2,Dtwd2,0.0025,0.6927,0.3111
Dtx1,Dtx1,0,,
Dtx2,Dtx2,-0.0427,-3.4994,3.3313
Dtx3,Dtx3,0.0148,-1.2961,0.7101
Dtx3l,Dtx3l,0.0479,-1.5702,0.9342
Dtx4,Dtx4,-0.0624,-3.5514,3.4166
Dtymk,Dtymk,-0.0323,-2.8423,2.3489
Dub1,Dub1,0,,
Dub1a,Dub1a,0,,
Dub2a,Dub2a,0,,
Dub3,Dub3,0,,
Duox1,Duox1,0,,
Duox2,Duox2,0,,
Duoxa1,Duoxa1,-0.0034,-1.431,0.8169
Duoxa2,Duoxa2,0,,
Dupd1,Dupd1,0,,
Dus1l,Dus1l,-0.005,-2.164,1.5162
Dus2l,Dus2l,-0.0083,-0.5819,0.2513
Dus3l,Dus3l,0.0287,-1.6893,1.0402
Dus4l,Dus4l,0.002,-0.5167,0.218
Dusp1,Dusp1,-0.438,-6.2585,9.4104
Dusp10,Dusp10,0,,
Dusp11,Dusp11,-0.09,-4.0296,4.2528
Dusp12,Dusp12,-0.0012,-1.6144,0.9729
Dusp13,Dusp13,0,,
Dusp14,Dusp14,0,,
Dusp15,Dusp15,0,,
Dusp16,Dusp16,-0.0009,-0.5895,0.2553
Dusp18,Dusp18,0.0007,-0.0357,0.0126
Dusp19,Dusp19,-0.0017,-0.5226,0.2209
Dusp2,Dusp2,-0.0419,-3.3956,3.1644
Dusp21,Dusp21,0,,
Dusp22,Dusp22,-0.0034,-0.7483,0.3427
Dusp23,Dusp23,0.0179,-0.5614,0.2407
Dusp26,Dusp26,0,,
Dusp27,Dusp27,0.0014,-0.9018,0.4352
Dusp28,Dusp28,-0.0012,-1.8012,1.1447
Dusp3,Dusp3,0.1023,-3.3372,3.0725
Dusp4,Dusp4,0,,
Dusp5,Dusp5,-0.0319,-4.6278,5.4323
Dusp6,Dusp6,-0.3758,-7.9974,14.896
Dusp7,Dusp7,0.023,-1.2855,0.702
Dusp8,Dusp8,0.0111,-0.5863,0.2536
Dusp9,Dusp9,0,,
Dut,Dut,-0.0022,-0.2879,0.1116
Dux,Dux,0,,
Duxbl,Duxbl,0,,
Dvl1,Dvl1,0.0025,-0.4764,0.198
Dvl2,Dvl2,0.0198,-1.1551,0.6055
Dvl3,Dvl3,0.012,0.6927,0.3111
Dydc1,Dydc1,0,,
Dydc2,Dydc2,0,,
Dym,Dym,-0.039,-2.639,2.0802
Dync1h1,Dync1h1,0.1853,-1.2428,0.6697
Dync1i1,Dync1i1,0,,
Dync1i2,Dync1i2,0.0114,-2.3034,1.6725
Dync1li1,Dync1li1,-0.0612,-4.2829,4.734
Dync1li2,Dync1li2,0.1092,0.7124,0.3222
Dync2h1,Dync2h1,0.0158,-0.5661,0.2431
Dync2li1,Dync2li1,0,,
Dynll1,Dynll1,0.0957,-2.129,1.4781
Dynll2,Dynll2,0.0843,0.2708,0.1043
Dynlrb1,Dynlrb1,0.0177,-2.8701,2.3868
Dynlrb2,Dynlrb2,0,,
Dynlt1-ps1,Dynlt1-ps1,0.0115,-0.337,0.1331
Dynlt1a,Dynlt1a,0.0003,-0.5167,0.218
Dynlt1b,Dynlt1b,-0.0017,-1.431,0.8169
Dynlt1c,Dynlt1c,0,,
Dynlt1e,Dynlt1e,-0.0009,-1.431,0.8169
Dynlt1f,Dynlt1f,-0.0034,-1.431,0.8169
Dynlt3,Dynlt3,0.0407,-2.4271,1.8176
Dyrk1a,Dyrk1a,-0.0247,-2.6593,2.1062
Dyrk1b,Dyrk1b,-0.0034,-1.431,0.8169
Dyrk2,Dyrk2,-0.062,-3.3762,3.1337
Dyrk3,Dyrk3,0,,
Dyrk4,Dyrk4,0.009,-0.7301,0.3322
Dysf,Dysf,0,,
Dysfip1,Dysfip1,0,,
Dytn,Dytn,-0.0043,-1.431,0.8169
Dyx1c1,Dyx1c1,0,,
Dzip1,Dzip1,0,,
Dzip1l,Dzip1l,0,,
Dzip3,Dzip3,-0.0522,-4.0923,4.3694
E030002O03Rik,E030002O03Rik,0,,
E030007J07Rik,E030007J07Rik,0,,
E030010A14Rik,E030010A14Rik,0,,
E030010N08Rik,E030010N08Rik,0,,
E030011O05Rik,E030011O05Rik,0,,
E030013I19Rik,E030013I19Rik,0,,
E030019B06Rik,E030019B06Rik,0,,
E030024N20Rik,E030024N20Rik,0,,
E030025P04Rik,E030025P04Rik,0,,
E030030I06Rik,E030030I06Rik,-0.0005,-0.0216,0.0075
E030042O20Rik,E030042O20Rik,0,,
E130003G02Rik,E130003G02Rik,0,,
E130006D01Rik,E130006D01Rik,0.0021,0.6927,0.3111
E130012A19Rik,E130012A19Rik,0.018,-0.0168,0.0059
E130018N17Rik,E130018N17Rik,0,,
E130018O15Rik,E130018O15Rik,0,,
E130102H24Rik,E130102H24Rik,0,,
E130111B04Rik,E130111B04Rik,0,,
E130114P18Rik,E130114P18Rik,0,,
E130116L18Rik,E130116L18Rik,0,,
E130120K24Rik,E130120K24Rik,0,,
E130201H02Rik,E130201H02Rik,0.0014,-0.0216,0.0075
E130203B14Rik,E130203B14Rik,0,,
E130208F15Rik,E130208F15Rik,-0.0026,-1.431,0.8169
E130215H24Rik,E130215H24Rik,0.0013,0.6927,0.3111
E130218I03Rik,E130218I03Rik,0,,
E130303B06Rik,E130303B06Rik,-0.0188,-2.0286,1.3716
E130304I02Rik,E130304I02Rik,0,,
E130306D19Rik,E130306D19Rik,-0.0086,-2.0286,1.3716
E130307A14Rik,E130307A14Rik,0.0264,1.2069,0.6431
E130308A19Rik,E130308A19Rik,-0.0056,-1.8366,1.1787
E130309D02Rik,E130309D02Rik,-0.0203,-3.1144,2.7344
E130309D14Rik,E130309D14Rik,0,,
E130309F12Rik,E130309F12Rik,0,,
E130311K13Rik,E130311K13Rik,0.0058,-0.5167,0.218
E130317F20Rik,E130317F20Rik,-0.0035,-0.5196,0.2194
E230001N04Rik,E230001N04Rik,-0.0026,-1.431,0.8169
E230008N13Rik,E230008N13Rik,0,,
E230013L22Rik,E230013L22Rik,0,,
E230015B07Rik,E230015B07Rik,0,,
E230015J15Rik,E230015J15Rik,0,,
E230016K23Rik,E230016K23Rik,0,,
E230016M11Rik,E230016M11Rik,0,,
E230019M04Rik,E230019M04Rik,0,,
E230025N22Rik,E230025N22Rik,0,,
E230028L10Rik,E230028L10Rik,0,,
E2f1,E2f1,-0.0039,-1.2549,0.6788
E2f2,E2f2,0.0016,-0.5167,0.218
E2f3,E2f3,-0.0091,-2.5994,2.0297
E2f4,E2f4,0.044,-0.8642,0.4118
E2f5,E2f5,-0.0048,-1.3766,0.7731
E2f6,E2f6,-0.0011,-0.9001,0.4341
E2f7,E2f7,0,,
E2f8,E2f8,0.0108,0.9835,0.4876
E330009J07Rik,E330009J07Rik,-0.0086,-1.8075,1.1506
E330010L02Rik,E330010L02Rik,0,,
E330012B07Rik,E330012B07Rik,0,,
E330013P04Rik,E330013P04Rik,0,,
E330014E10Rik,E330014E10Rik,0,,
E330016A19Rik,E330016A19Rik,-0.0259,-2.5038,1.9105
E330017A01Rik,E330017A01Rik,0,,
E330017L17Rik,E330017L17Rik,0,,
E330020D12Rik,E330020D12Rik,0.0037,0.6927,0.3111
E330021D16Rik,E330021D16Rik,0,,
E330034G19Rik,E330034G19Rik,0,,
E430018J23Rik,E430018J23Rik,0.0078,-0.8967,0.432
E430025E21Rik,E430025E21Rik,0.0316,-1.3092,0.7202
E4f1,E4f1,-0.0278,-2.8319,2.3346
E530001F21Rik,E530001F21Rik,0,,
E530001K10Rik,E530001K10Rik,0,,
E530011L22Rik,E530011L22Rik,0,,
ERCC-00002,ERCC-00002,0,,
ERCC-00003,ERCC-00003,0,,
ERCC-00004,ERCC-00004,0,,
ERCC-00009,ERCC-00009,0,,
ERCC-00012,ERCC-00012,0,,
ERCC-00013,ERCC-00013,0,,
ERCC-00014,ERCC-00014,0,,
ERCC-00016,ERCC-00016,0,,
ERCC-00017,ERCC-00017,0,,
ERCC-00019,ERCC-00019,0,,
ERCC-00022,ERCC-00022,0,,
ERCC-00024,ERCC-00024,0,,
ERCC-00025,ERCC-00025,0,,
ERCC-00028,ERCC-00028,0,,
ERCC-00031,ERCC-00031,0,,
ERCC-00033,ERCC-00033,0,,
ERCC-00034,ERCC-00034,0,,
ERCC-00035,ERCC-00035,0,,
ERCC-00039,ERCC-00039,0,,
ERCC-00040,ERCC-00040,0,,
ERCC-00041,ERCC-00041,0,,
ERCC-00042,ERCC-00042,0,,
ERCC-00043,ERCC-00043,0,,
ERCC-00044,ERCC-00044,0,,
ERCC-00046,ERCC-00046,0,,
ERCC-00048,ERCC-00048,0,,
ERCC-00051,ERCC-00051,0,,
ERCC-00053,ERCC-00053,0,,
ERCC-00054,ERCC-00054,0,,
ERCC-00057,ERCC-00057,0,,
ERCC-00058,ERCC-00058,0,,
ERCC-00059,ERCC-00059,0,,
ERCC-00060,ERCC-00060,0,,
ERCC-00061,ERCC-00061,0,,
ERCC-00062,ERCC-00062,0,,
ERCC-00067,ERCC-00067,0,,
ERCC-00069,ERCC-00069,0,,
ERCC-00071,ERCC-00071,0,,
ERCC-00073,ERCC-00073,0,,
ERCC-00074,ERCC-00074,0,,
ERCC-00075,ERCC-00075,0,,
ERCC-00076,ERCC-00076,0,,
ERCC-00077,ERCC-00077,0,,
ERCC-00078,ERCC-00078,0,,
ERCC-00079,ERCC-00079,0,,
ERCC-00081,ERCC-00081,0,,
ERCC-00083,ERCC-00083,0,,
ERCC-00084,ERCC-00084,0,,
ERCC-00085,ERCC-00085,0,,
ERCC-00086,ERCC-00086,0,,
ERCC-00092,ERCC-00092,0,,
ERCC-00095,ERCC-00095,0,,
ERCC-00096,ERCC-00096,0,,
ERCC-00097,ERCC-00097,0,,
ERCC-00098,ERCC-00098,0,,
ERCC-00099,ERCC-00099,0,,
ERCC-00104,ERCC-00104,0,,
ERCC-00108,ERCC-00108,0,,
ERCC-00109,ERCC-00109,0,,
ERCC-00111,ERCC-00111,0,,
ERCC-00112,ERCC-00112,0,,
ERCC-00113,ERCC-00113,0,,
ERCC-00116,ERCC-00116,0,,
ERCC-00117,ERCC-00117,0,,
ERCC-00120,ERCC-00120,0,,
ERCC-00123,ERCC-00123,0,,
ERCC-00126,ERCC-00126,0,,
ERCC-00130,ERCC-00130,0,,
ERCC-00131,ERCC-00131,0,,
ERCC-00134,ERCC-00134,0,,
ERCC-00136,ERCC-00136,0,,
ERCC-00137,ERCC-00137,0,,
ERCC-00138,ERCC-00138,0,,
ERCC-00142,ERCC-00142,0,,
ERCC-00143,ERCC-00143,0,,
ERCC-00144,ERCC-00144,0,,
ERCC-00145,ERCC-00145,0,,
ERCC-00147,ERCC-00147,0,,
ERCC-00148,ERCC-00148,0,,
ERCC-00150,ERCC-00150,0,,
ERCC-00154,ERCC-00154,0,,
ERCC-00156,ERCC-00156,0,,
ERCC-00157,ERCC-00157,0,,
ERCC-00158,ERCC-00158,0,,
ERCC-00160,ERCC-00160,0,,
ERCC-00162,ERCC-00162,0,,
ERCC-00163,ERCC-00163,0,,
ERCC-00164,ERCC-00164,0,,
ERCC-00165,ERCC-00165,0,,
ERCC-00168,ERCC-00168,0,,
ERCC-00170,ERCC-00170,0,,
ERCC-00171,ERCC-00171,0,,
EU599041,EU599041,0,,
Eaf1,Eaf1,-0.0571,-4.4191,5.0038
Eaf2,Eaf2,0.0152,-0.0168,0.0059
Eapp,Eapp,0.0603,-1.5905,0.9519
Ear-ps10,Ear-ps10,0,,
Ear-ps12,Ear-ps12,0,,
Ear-ps2,Ear-ps2,0,,
Ear-ps3,Ear-ps3,0,,
Ear-ps4,Ear-ps4,0,,
Ear-ps5,Ear-ps5,0,,
Ear-ps7,Ear-ps7,0,,
Ear-ps8,Ear-ps8,0,,
Ear-ps9,Ear-ps9,0,,
Ear1,Ear1,0,,
Ear10,Ear10,0,,
Ear11,Ear11,0.0116,0.9835,0.4876
Ear14,Ear14,0,,
Ear2,Ear2,-0.0026,-1.431,0.8169
Ear5,Ear5,0.0002,-1.3035,0.7158
Ear6,Ear6,0,,
Ears2,Ears2,0.0119,0.2476,0.0945
Ebag9,Ebag9,-0.0464,-3.9335,4.0771
Ebf1,Ebf1,0.0112,0.6927,0.3111
Ebf2,Ebf2,0,,
Ebf3,Ebf3,-0.0378,-2.053,1.3971
Ebf4,Ebf4,0.0075,0.6927,0.3111
Ebi3,Ebi3,-0.0123,-1.7718,1.1168
Ebna1bp2,Ebna1bp2,0.0241,-1.2342,0.6633
Ebp,Ebp,-0.0879,-4.8503,5.909
Ebpl,Ebpl,-0.08,-3.6382,3.5613
Ecd,Ecd,0.0216,-2.0179,1.3605
Ece1,Ece1,-0.0065,-1.7747,1.1195
Ece2,Ece2,-0.0058,-2.2049,1.5613
Ecel1,Ecel1,0,,
Ech1,Ech1,0.0435,-0.3754,0.1504
Echdc1,Echdc1,-0.0205,-1.8517,1.1934
Echdc2,Echdc2,0,,
Echdc3,Echdc3,0,,
Echs1,Echs1,-0.0652,-5.4915,7.3995
Eci1,Eci1,0.0394,-2.0891,1.4354
Eci2,Eci2,-0.0466,-3.6089,3.5122
Eci3,Eci3,0,,
Ecm1,Ecm1,0.004,0.3286,0.1293
Ecm2,Ecm2,0,,
Ecscr,Ecscr,0.2579,3.7846,3.8126
Ecsit,Ecsit,0.0101,-0.0255,0.0089
Ect2,Ect2,0.0079,0.6927,0.3111
Ect2l,Ect2l,0,,
Eda,Eda,0,,
Eda2r,Eda2r,0,,
Edar,Edar,-0.0043,-1.431,0.8169
Edaradd,Edaradd,0,,
Edc3,Edc3,-0.011,-1.9356,1.2764
Edc4,Edc4,-0.0214,-3.1576,2.7984
Eddm3b,Eddm3b,0,,
Edem1,Edem1,0.0505,-2.5893,2.0169
Edem2,Edem2,-0.162,-5.8592,8.3323
Edem3,Edem3,-0.0793,-4.6488,5.4764
Edf1,Edf1,-0.0426,-5.1681,6.6263
Edil3,Edil3,0.0108,0.6927,0.3111
Edn1,Edn1,0.0062,0.6927,0.3111
Edn2,Edn2,0,,
Edn3,Edn3,0,,
Ednra,Ednra,0,,
Ednrb,Ednrb,0,,
Eea1,Eea1,0.027,-2.3963,1.7809
Eed,Eed,-0.0758,-4.5998,5.3737
Eef1a1,Eef1a1,0.147,-1.4884,0.8644
Eef1a2,Eef1a2,0,,
Eef1b2,Eef1b2,0.1793,-0.393,0.1584
Eef1d,Eef1d,0.0107,-2.8687,2.385
Eef1e1,Eef1e1,0.0355,-1.3551,0.756
Eef1g,Eef1g,0.1272,-2.2274,1.5863
Eef2,Eef2,0.4304,4.0757,4.3384
Eef2k,Eef2k,0.0432,-0.0033,0.0011
Eefsec,Eefsec,-0.0444,-2.8566,2.3683
Eepd1,Eepd1,-0.0042,-3.7579,3.7662
Efcab1,Efcab1,0,,
Efcab10,Efcab10,0,,
Efcab2,Efcab2,-0.0026,-1.431,0.8169
Efcab3,Efcab3,0,,
Efcab4a,Efcab4a,-0.0111,-1.4561,0.8375
Efcab4b,Efcab4b,0,,
Efcab5,Efcab5,0,,
Efcab6,Efcab6,0,,
Efcab7,Efcab7,-0.0043,-2.0286,1.3716
Efcab8,Efcab8,0,,
Efcab9,Efcab9,0,,
Efemp1,Efemp1,0,,
Efemp2,Efemp2,-0.0179,-3.0894,2.6978
Efha1,Efha1,-0.0755,-3.7879,3.8183
Efha2,Efha2,-0.023,-2.8765,2.3957
Efhb,Efhb,0,,
Efhc1,Efhc1,0,,
Efhc2,Efhc2,0,,
Efhd1,Efhd1,0.0129,0.6927,0.3111
Efhd2,Efhd2,0.3734,0.2062,0.0775
Efna1,Efna1,0,,
Efna2,Efna2,-0.0026,-1.431,0.8169
Efna3,Efna3,0,,
Efna4,Efna4,0,,
Efna5,Efna5,0.0017,0.6927,0.3111
Efnb1,Efnb1,-0.0093,-1.6295,0.9863
Efnb2,Efnb2,-0.0026,-1.431,0.8169
Efnb3,Efnb3,0,,
Efr3a,Efr3a,0.0464,-2.1376,1.4875
Efr3b,Efr3b,-0.0406,-4.2831,4.7345
Efs,Efs,0,,
Eftud1,Eftud1,-0.0344,-3.1576,2.7984
Eftud2,Eftud2,-0.0027,-1.9205,1.2613
Egf,Egf,0,,
Egfem1,Egfem1,0,,
Egfl6,Egfl6,0,,
Egfl7,Egfl7,-0.0111,-2.0286,1.3716
Egfl8,Egfl8,0,,
Egflam,Egflam,0,,
Egfr,Egfr,0,,
Egln1,Egln1,0.0128,-3.4194,3.2023
Egln2,Egln2,0.0132,-1.8046,1.1479
Egln3,Egln3,-0.1557,-8.6455,17.2711
Egr1,Egr1,-0.2412,-3.5157,3.358
Egr2,Egr2,-0.1701,-4.9482,6.1254
Egr3,Egr3,0,,
Egr4,Egr4,0,,
Ehbp1,Ehbp1,0.0011,-0.0192,0.0067
Ehbp1l1,Ehbp1l1,-0.0194,-1.7168,1.0654
Ehd1,Ehd1,0.006,0.2381,0.0906
Ehd2,Ehd2,0,,
Ehd3,Ehd3,0.0008,0.6927,0.3111
Ehd4,Ehd4,0.0636,-1.7034,1.0531
Ehf,Ehf,0,,
Ehhadh,Ehhadh,0.0158,1.2069,0.6431
Ehmt1,Ehmt1,-0.0162,-3.0747,2.6763
Ehmt2,Ehmt2,0.0344,-1.8174,1.1602
Ei24,Ei24,0.026,-1.6519,1.0063
Eid1,Eid1,0.0432,-2.3053,1.6746
Eid2,Eid2,0.0347,-0.7301,0.3322
Eid2b,Eid2b,-0.0072,-1.3766,0.7731
Eif1,Eif1,0.0345,-2.4529,1.8486
Eif1a,Eif1a,-0.0256,-3.075,2.6768
Eif1ad,Eif1ad,-0.0143,-2.2951,1.6629
Eif1ax,Eif1ax,0.0593,-0.9947,0.495
Eif1b,Eif1b,0.0531,-2.5807,2.0061
Eif2a,Eif2a,-0.0449,-3.7101,3.6837
Eif2ak1,Eif2ak1,-0.0459,-4.0792,4.345
Eif2ak2,Eif2ak2,-0.0508,-3.6219,3.5339
Eif2ak3,Eif2ak3,-0.0126,-2.0944,1.441
Eif2ak4,Eif2ak4,-0.0307,-3.7603,3.7704
Eif2b1,Eif2b1,-0.0315,-3.7676,3.783
